,Specs,Price
83, - Core i5 9th Generation - 2.4 GHz  - NO - 8 GB RAM - 15.6 - Genuine Windows 10 Home,"144,999 - PKR"
84, - Core i5 - 1.6 GHz - 1 TB - 8GB - 14 - WIN 10 Home,"144,999 - PKR"
85, - Intel Core i5 8th Generation - 1.6 GHz  - 8 GB - 13.3 - Windows 10 Home ,"150,000 - PKR"
86," - Intel Core i7 10th Generation - 1.3 GHz - 8GB - 15.6"" - Dos","152,999 - PKR"
87, - Core i5 - 1.6 GHz - 8GB - 13.3 - WIN 10 Home,"156,999 - PKR"
88, - Intel Core i5 10th Generation - 1.6 GHz  -  8GB RAM - 13.3 - Windows 10 Home ,"164,000 - PKR
		            	157,000 - PKR"
89," - Intel Core i5 8th Generation - 2.3 GHz - 1TB - 8GB - 15.6"" - Windows 10 Home Single Language 64","164,999 - PKR"
90, - Intel Core i7 10th Generation - 1.8 GHz - 8 GB - 13.3 - Windows 10 Home ,"166,499 - PKR"
91, - Core i7 - 1.8 GHz - 1 TB - 8GB - 14 INCHES - WIN 10 Home,"172,000 - PKR"
92, - Intel Core I5 - 4.1 GHz - 1 TB  SATA  - 8 GB RAM DDR4 - 15.6 - Windows 10 Home ,"174,000 - PKR"
93, - Intel Core i5 10th Generation - 8GB - 13.5? - Windows 10 Home,"174,999 - PKR"
94, - AMD Ryzen - 8GB - 15 Inches - Windows 10 Home,"174,999 - PKR"
95, - 10thGeneration Core i3 - 1.1GHz - 8GB - 13 Inches  - macOS,"182,999 - PKR"
96, - 10thGeneration Core i3 - 1.1GHz - 8GB - 13 Inches  - macOS,"182,999 - PKR"
97, - Intel Core i7 10th Generation - 1.8 GHz  -  8GB RAM - 13.3 - Windows 10 Home ,"182,999 - PKR"
98, - Intel Core i7 10th Generation - 1.8 GHz  -  8GB RAM - 13.3 - Windows 10 Home ,"182,999 - PKR"
99, - 10thGeneration Core i3 - 1.1GHz - 8GB - 13 Inches  - macOS,"183,999 - PKR"
100, - Core i7 9th Generation - 2.6 GHz - 1TB HDD  - 16 GB RAM - 15.6 - Genuine Windows 10 Home,"184,999 - PKR"
101, - Intel Core i7 8th Generation - 2.2 GHz - 1TB - 8GB - 15.6 - Windows 10 Home Plus,"185,000 - PKR"
